	pred	label	score
186	1	POSITIVE	0.977422
187	0	NEGATIVE	0.96119845
188	0	NEGATIVE	0.9962999
189	0	NEGATIVE	0.9980115
190	1	POSITIVE	0.99081147
191	0	NEGATIVE	0.9983427
192	0	NEGATIVE	0.9766744
193	0	NEGATIVE	0.99803144
194	0	NEGATIVE	0.9960062
195	1	POSITIVE	0.9957163
196	1	POSITIVE	0.9931878
197	0	NEGATIVE	0.9984132
198	0	NEGATIVE	0.9949234
199	1	POSITIVE	0.99574554
200	1	POSITIVE	0.9875232
201	0	NEGATIVE	0.9982624
202	1	POSITIVE	0.9946617
203	0	NEGATIVE	0.99850756
204	0	NEGATIVE	0.9918892
205	0	NEGATIVE	0.94748414
206	1	POSITIVE	0.96387184
207	0	NEGATIVE	0.9984521
208	1	POSITIVE	0.99210817
209	0	NEGATIVE	0.9980179
210	0	NEGATIVE	0.9928655
211	0	NEGATIVE	0.9918357
212	0	NEGATIVE	0.99713993
213	0	NEGATIVE	0.99849993
214	0	NEGATIVE	0.97631305
215	0	NEGATIVE	0.9978748
216	1	POSITIVE	0.989005
217	0	NEGATIVE	0.99923164
218	0	NEGATIVE	0.9987163
219	0	NEGATIVE	0.99770504
220	0	NEGATIVE	0.9978841
221	0	NEGATIVE	0.96465105
222	1	POSITIVE	0.97804904
223	0	NEGATIVE	0.9981397
224	0	NEGATIVE	0.9989997
225	0	NEGATIVE	0.998545
226	0	NEGATIVE	0.99773765
227	0	NEGATIVE	0.99645495
228	0	NEGATIVE	0.937995
229	0	NEGATIVE	0.9981492
230	0	NEGATIVE	0.9980853
231	1	POSITIVE	0.99118894
232	0	NEGATIVE	0.99364007
233	1	POSITIVE	0.98717475
234	0	NEGATIVE	0.9970358
235	1	POSITIVE	0.9965072
236	0	NEGATIVE	0.98790187
237	0	NEGATIVE	0.9779781
238	1	POSITIVE	0.9742975
239	1	POSITIVE	0.9742975
240	0	NEGATIVE	0.96906865
241	0	NEGATIVE	0.99792963
242	0	NEGATIVE	0.9980837
243	0	NEGATIVE	0.9935391
244	0	NEGATIVE	0.99446154
245	0	NEGATIVE	0.99749136
246	0	NEGATIVE	0.8202792
247	0	NEGATIVE	0.9981923
248	1	POSITIVE	0.99787825
249	0	NEGATIVE	0.9977627
250	1	POSITIVE	0.9957278
251	0	NEGATIVE	0.9981907
252	0	NEGATIVE	0.9990707
253	0	NEGATIVE	0.99677
254	0	NEGATIVE	0.99135804
255	1	POSITIVE	0.99572015
256	1	POSITIVE	0.9438536
257	0	NEGATIVE	0.96545684
258	0	NEGATIVE	0.9967476
259	0	NEGATIVE	0.9977588
260	0	NEGATIVE	0.95901304
261	1	POSITIVE	0.98776066
262	0	NEGATIVE	0.98969674
263	1	POSITIVE	0.80302244
264	0	NEGATIVE	0.60429674
265	0	NEGATIVE	0.9945928
266	0	NEGATIVE	0.9801252
267	0	NEGATIVE	0.99783194
268	1	POSITIVE	0.9813684
269	1	POSITIVE	0.99580675
270	1	POSITIVE	0.9732697
271	0	NEGATIVE	0.9967749
272	0	NEGATIVE	0.99142396
273	1	POSITIVE	0.94288635
274	1	POSITIVE	0.9525493
275	0	NEGATIVE	0.9929919
276	0	NEGATIVE	0.5091211
277	0	NEGATIVE	0.97882795
278	0	NEGATIVE	0.9970154
279	0	NEGATIVE	0.9878966
280	0	NEGATIVE	0.9792549
281	0	NEGATIVE	0.9973158
282	1	POSITIVE	0.99620986
283	0	NEGATIVE	0.99664545
284	1	POSITIVE	0.98967546
285	1	POSITIVE	0.98573303
286	0	NEGATIVE	0.99762934
287	1	POSITIVE	0.9845801
288	1	POSITIVE	0.987585
289	0	NEGATIVE	0.92186564
290	0	NEGATIVE	0.99824804
291	0	NEGATIVE	0.9978646
292	0	NEGATIVE	0.9838507
293	1	POSITIVE	0.9939631
294	0	NEGATIVE	0.9981539
295	1	POSITIVE	0.9859679
296	0	NEGATIVE	0.9972741
297	0	NEGATIVE	0.9874811
298	0	NEGATIVE	0.99858266
299	1	POSITIVE	0.99195343
300	0	NEGATIVE	0.9980683
301	1	POSITIVE	0.9721005
302	0	NEGATIVE	0.99327254
303	1	POSITIVE	0.9957275
304	0	NEGATIVE	0.99796253
305	1	POSITIVE	0.99575144
306	0	NEGATIVE	0.9792081
307	1	POSITIVE	0.9633796
308	1	POSITIVE	0.9618722
309	0	NEGATIVE	0.89043874
310	0	NEGATIVE	0.9976037
311	0	NEGATIVE	0.9908332
312	0	NEGATIVE	0.8687896
313	0	NEGATIVE	0.9946226
314	0	NEGATIVE	0.99795
315	0	NEGATIVE	0.9888273
316	0	NEGATIVE	0.99818784
317	0	NEGATIVE	0.9978379
318	0	NEGATIVE	0.9972764
319	0	NEGATIVE	0.9958541
320	1	POSITIVE	0.9901957
321	1	POSITIVE	0.98869497
322	0	NEGATIVE	0.9912351
323	1	POSITIVE	0.98833716
324	0	NEGATIVE	0.9979632
325	0	NEGATIVE	0.9750277
326	0	NEGATIVE	0.99107504
327	0	NEGATIVE	0.9807103
328	1	POSITIVE	0.9977024
329	0	NEGATIVE	0.9955176
330	0	NEGATIVE	0.99844396
331	0	NEGATIVE	0.9990194
332	1	POSITIVE	0.99075305
333	0	NEGATIVE	0.9962632
334	1	POSITIVE	0.98582107
335	0	NEGATIVE	0.99122185
336	1	POSITIVE	0.98640865
337	0	NEGATIVE	0.99809283
338	0	NEGATIVE	0.9740062
339	0	NEGATIVE	0.99641985
340	1	POSITIVE	0.9918537
341	0	NEGATIVE	0.99739087
342	1	POSITIVE	0.9957062
343	0	NEGATIVE	0.99826604
344	1	POSITIVE	0.9921404
345	1	POSITIVE	0.99573505
346	0	NEGATIVE	0.9922769
347	0	NEGATIVE	0.99884474
348	0	NEGATIVE	0.99559325
349	0	NEGATIVE	0.98851085
350	0	NEGATIVE	0.99476
351	1	POSITIVE	0.99582934
352	0	NEGATIVE	0.98568106
353	0	NEGATIVE	0.96023345
354	0	NEGATIVE	0.99243647
355	0	NEGATIVE	0.9920581
356	0	NEGATIVE	0.99726486
357	1	POSITIVE	0.981864
358	0	NEGATIVE	0.9670454
359	1	POSITIVE	0.97580415
360	0	NEGATIVE	0.9946725
361	1	POSITIVE	0.97538793
362	0	NEGATIVE	0.9984834
363	0	NEGATIVE	0.9912851
364	0	NEGATIVE	0.9976901
365	0	NEGATIVE	0.9944865
366	1	POSITIVE	0.9943082
367	1	POSITIVE	0.9957166
368	0	NEGATIVE	0.997562
369	0	NEGATIVE	0.9905351
370	0	NEGATIVE	0.9841139
371	0	NEGATIVE	0.9970613
372	0	NEGATIVE	0.98764104
373	0	NEGATIVE	0.9976478
374	0	NEGATIVE	0.9915786
375	0	NEGATIVE	0.99624866
376	1	POSITIVE	0.99573743
377	1	POSITIVE	0.9880875
378	0	NEGATIVE	0.68160933
379	0	NEGATIVE	0.965999
380	0	NEGATIVE	0.9968457
381	1	POSITIVE	0.7634364
382	1	POSITIVE	0.98715156
383	1	POSITIVE	0.99094474
384	1	POSITIVE	0.98674345
385	0	NEGATIVE	0.9985951
386	1	POSITIVE	0.98911643
387	0	NEGATIVE	0.9985419
388	1	POSITIVE	0.98675615
389	0	NEGATIVE	0.9990609
390	0	NEGATIVE	0.99865013
391	1	POSITIVE	0.92164946
392	0	NEGATIVE	0.9869776
393	1	POSITIVE	0.983289
394	0	NEGATIVE	0.998553
395	1	POSITIVE	0.9885574
396	1	POSITIVE	0.99572
397	1	POSITIVE	0.95009804
398	1	POSITIVE	0.9879357
399	0	NEGATIVE	0.99729663
400	0	NEGATIVE	0.9973241
401	0	NEGATIVE	0.9985255
402	1	POSITIVE	0.9828353
403	0	NEGATIVE	0.9613381
404	0	NEGATIVE	0.9974313
405	1	POSITIVE	0.9575719
406	1	POSITIVE	0.9905975
407	0	NEGATIVE	0.9940231
408	0	NEGATIVE	0.99128354
409	0	NEGATIVE	0.99395496
410	1	POSITIVE	0.99573183
411	1	POSITIVE	0.9957319
412	0	NEGATIVE	0.99847496
413	0	NEGATIVE	0.9982175
414	0	NEGATIVE	0.9971324
415	1	POSITIVE	0.9805032
416	0	NEGATIVE	0.99785703
417	1	POSITIVE	0.98354834
418	0	NEGATIVE	0.9601349
419	1	POSITIVE	0.99582785
420	0	NEGATIVE	0.9947842
421	0	NEGATIVE	0.9988921
422	1	POSITIVE	0.9918998
423	0	NEGATIVE	0.9952606
424	0	NEGATIVE	0.9872926
425	0	NEGATIVE	0.99817216
426	0	NEGATIVE	0.9977761
427	0	NEGATIVE	0.9918859
428	0	NEGATIVE	0.9977281
429	1	POSITIVE	0.9852557
430	0	NEGATIVE	0.9993454
431	0	NEGATIVE	0.99700576
432	1	POSITIVE	0.9888484
433	0	NEGATIVE	0.98409444
434	0	NEGATIVE	0.99900323
435	1	POSITIVE	0.971569
436	0	NEGATIVE	0.99689096
437	0	NEGATIVE	0.99852455
438	0	NEGATIVE	0.9985879
439	0	NEGATIVE	0.99521965
440	1	POSITIVE	0.9955664
441	1	POSITIVE	0.8815691
442	0	NEGATIVE	0.98357576
443	0	NEGATIVE	0.980575
444	0	NEGATIVE	0.9976829
445	1	POSITIVE	0.958235
446	0	NEGATIVE	0.9982063
447	1	POSITIVE	0.9828513
448	0	NEGATIVE	0.99843377
449	1	POSITIVE	0.99089205
450	1	POSITIVE	0.9957046
451	1	POSITIVE	0.9895965
452	0	NEGATIVE	0.9965889
453	1	POSITIVE	0.9957397
454	0	NEGATIVE	0.9861633
455	1	POSITIVE	0.6642006
456	1	POSITIVE	0.98666894
457	1	POSITIVE	0.98465985
458	1	POSITIVE	0.976033
459	1	POSITIVE	0.9243413
460	0	NEGATIVE	0.99678093
461	0	NEGATIVE	0.9730089
462	0	NEGATIVE	0.9857355
463	0	NEGATIVE	0.9944846
464	0	NEGATIVE	0.99840426
465	1	POSITIVE	0.98193014
466	0	NEGATIVE	0.9926033
467	1	POSITIVE	0.9888061
468	0	NEGATIVE	0.9986921
469	1	POSITIVE	0.91999274
470	0	NEGATIVE	0.99830884
471	1	POSITIVE	0.9947494
472	0	NEGATIVE	0.9838798
473	0	NEGATIVE	0.9980567
474	1	POSITIVE	0.93820715
475	0	NEGATIVE	0.9974798
476	0	NEGATIVE	0.99788535
477	1	POSITIVE	0.5342291
478	0	NEGATIVE	0.9932085
479	1	POSITIVE	0.9907332
480	1	POSITIVE	0.99045765
481	0	NEGATIVE	0.99545926
482	0	NEGATIVE	0.97796226
483	0	NEGATIVE	0.99806845
484	1	POSITIVE	0.9957488
485	1	POSITIVE	0.995747
486	0	NEGATIVE	0.8939191
487	0	NEGATIVE	0.99192226
488	0	NEGATIVE	0.9898315
489	0	NEGATIVE	0.993489
490	0	NEGATIVE	0.9993034
491	0	NEGATIVE	0.99867517
492	0	NEGATIVE	0.9858451
493	0	NEGATIVE	0.9933826
494	0	NEGATIVE	0.9176857
495	1	POSITIVE	0.98170704
496	0	NEGATIVE	0.65380025
497	0	NEGATIVE	0.99121284
498	0	NEGATIVE	0.9987222
499	0	NEGATIVE	0.99235195
500	0	NEGATIVE	0.9939478
501	1	POSITIVE	0.9866534
502	0	NEGATIVE	0.9858738
503	0	NEGATIVE	0.9023779
504	0	NEGATIVE	0.98814565
505	0	NEGATIVE	0.98893
506	0	NEGATIVE	0.9912684
507	0	NEGATIVE	0.99827373
508	0	NEGATIVE	0.99875844
509	1	POSITIVE	0.9948186
510	0	NEGATIVE	0.98883617
511	0	NEGATIVE	0.9891807
512	0	NEGATIVE	0.9978213
513	1	POSITIVE	0.98369837
514	1	POSITIVE	0.977932
515	0	NEGATIVE	0.98661715
516	0	NEGATIVE	0.9987617
517	0	NEGATIVE	0.99104685
518	1	POSITIVE	0.9957968
519	1	POSITIVE	0.9297903
520	0	NEGATIVE	0.9765336
521	0	NEGATIVE	0.99671024
522	0	NEGATIVE	0.99768114
523	1	POSITIVE	0.9816769
524	0	NEGATIVE	0.9980877
525	1	POSITIVE	0.99789023
526	0	NEGATIVE	0.99660766
527	0	NEGATIVE	0.9773086
528	1	POSITIVE	0.9957346
529	1	POSITIVE	0.97251123
530	1	POSITIVE	0.8724991
531	1	POSITIVE	0.9881573
532	1	POSITIVE	0.9784211
533	0	NEGATIVE	0.98484296
534	0	NEGATIVE	0.9985273
535	0	NEGATIVE	0.9906557
536	0	NEGATIVE	0.9342562
537	0	NEGATIVE	0.9977281
538	0	NEGATIVE	0.99093485
539	0	NEGATIVE	0.9961616
540	0	NEGATIVE	0.99428916
541	1	POSITIVE	0.9433881
542	1	POSITIVE	0.9970479
543	1	POSITIVE	0.94538105
544	1	POSITIVE	0.98913527
545	1	POSITIVE	0.98507273
546	1	POSITIVE	0.9926394
547	0	NEGATIVE	0.99332184
548	1	POSITIVE	0.99280155
549	0	NEGATIVE	0.99360293
550	0	NEGATIVE	0.97163665
551	0	NEGATIVE	0.99762577
552	0	NEGATIVE	0.99820054
553	1	POSITIVE	0.996094
554	0	NEGATIVE	0.95476264
555	1	POSITIVE	0.99490637
556	0	NEGATIVE	0.9970364
557	0	NEGATIVE	0.9663336
558	1	POSITIVE	0.9957177
559	0	NEGATIVE	0.9173841
560	0	NEGATIVE	0.99606866
561	0	NEGATIVE	0.99779606
562	0	NEGATIVE	0.99798286
563	0	NEGATIVE	0.76112366
564	0	NEGATIVE	0.99596053
565	0	NEGATIVE	0.9978044
566	1	POSITIVE	0.98738575
567	0	NEGATIVE	0.9399035
568	0	NEGATIVE	0.99929833
569	1	POSITIVE	0.98651826
570	1	POSITIVE	0.9776428
571	0	NEGATIVE	0.99395967
572	1	POSITIVE	0.977847
573	1	POSITIVE	0.997205
574	1	POSITIVE	0.91375524
575	1	POSITIVE	0.98805565
576	1	POSITIVE	0.9971262
577	0	NEGATIVE	0.98948056
578	1	POSITIVE	0.99752814
579	0	NEGATIVE	0.9882117
580	0	NEGATIVE	0.99396735
581	0	NEGATIVE	0.9990157
582	1	POSITIVE	0.9961755
583	0	NEGATIVE	0.98503846
584	1	POSITIVE	0.9878272
585	1	POSITIVE	0.9862264
586	1	POSITIVE	0.9958764
587	0	NEGATIVE	0.9982026
588	1	POSITIVE	0.9909186
589	0	NEGATIVE	0.9978212
590	0	NEGATIVE	0.98890996
591	0	NEGATIVE	0.9612732
592	0	NEGATIVE	0.94977295
593	1	POSITIVE	0.79324
594	0	NEGATIVE	0.99800134
595	0	NEGATIVE	0.9779288
596	0	NEGATIVE	0.99866754
597	0	NEGATIVE	0.8570424
598	0	NEGATIVE	0.99881184
599	0	NEGATIVE	0.99785346
600	1	POSITIVE	0.9957333
601	1	POSITIVE	0.9956056
602	1	POSITIVE	0.99853754
603	0	NEGATIVE	0.58138746
604	1	POSITIVE	0.98682904
605	0	NEGATIVE	0.9933578
606	0	NEGATIVE	0.99686694
607	0	NEGATIVE	0.87995046
608	0	NEGATIVE	0.9961854
609	0	NEGATIVE	0.9874948
610	1	POSITIVE	0.9791734
611	1	POSITIVE	0.9966689
612	0	NEGATIVE	0.9939993
613	0	NEGATIVE	0.99389297
614	1	POSITIVE	0.9957112
615	1	POSITIVE	0.93093383
616	0	NEGATIVE	0.98448855
617	0	NEGATIVE	0.9950575
618	0	NEGATIVE	0.9965004
619	0	NEGATIVE	0.9899323
620	1	POSITIVE	0.9895502
621	0	NEGATIVE	0.99885184
622	0	NEGATIVE	0.998
623	0	NEGATIVE	0.99851984
624	1	POSITIVE	0.94647247
625	0	NEGATIVE	0.95488167
626	0	NEGATIVE	0.99866897
627	0	NEGATIVE	0.9992156
628	1	POSITIVE	0.9949807
629	0	NEGATIVE	0.9861149
630	1	POSITIVE	0.9960885
631	1	POSITIVE	0.9933954
632	1	POSITIVE	0.9915768
633	0	NEGATIVE	0.9919209
634	0	NEGATIVE	0.99039984
635	0	NEGATIVE	0.9922549
636	1	POSITIVE	0.9960481
637	0	NEGATIVE	0.84666413
638	0	NEGATIVE	0.9983231
639	1	POSITIVE	0.98747236
640	1	POSITIVE	0.9845597
641	0	NEGATIVE	0.9946179
642	1	POSITIVE	0.98831177
643	1	POSITIVE	0.99578816
644	0	NEGATIVE	0.99153596
645	1	POSITIVE	0.9908167
646	1	POSITIVE	0.99810386
647	1	POSITIVE	0.9925742
648	0	NEGATIVE	0.96296597
649	0	NEGATIVE	0.98934036
650	0	NEGATIVE	0.9922599
651	0	NEGATIVE	0.9909899
652	0	NEGATIVE	0.9986239
653	0	NEGATIVE	0.99111396
654	0	NEGATIVE	0.9741896
655	0	NEGATIVE	0.99686354
656	1	POSITIVE	0.9861503
657	0	NEGATIVE	0.99212134
658	0	NEGATIVE	0.8908799
659	0	NEGATIVE	0.98831874
660	1	POSITIVE	0.9876748
661	0	NEGATIVE	0.99589396
662	1	POSITIVE	0.9957577
663	0	NEGATIVE	0.99848723
664	1	POSITIVE	0.98716235
665	0	NEGATIVE	0.99713534
666	0	NEGATIVE	0.9617443
667	0	NEGATIVE	0.996624
668	1	POSITIVE	0.98891646
669	1	POSITIVE	0.9513683
670	0	NEGATIVE	0.9798155
671	0	NEGATIVE	0.9861403
672	0	NEGATIVE	0.983861
673	0	NEGATIVE	0.99781424
674	0	NEGATIVE	0.9982266
675	0	NEGATIVE	0.9937545
676	1	POSITIVE	0.9892684
677	0	NEGATIVE	0.99350905
678	0	NEGATIVE	0.989167
679	0	NEGATIVE	0.9942766
680	0	NEGATIVE	0.9633788
681	0	NEGATIVE	0.99809605
682	1	POSITIVE	0.99529994
683	0	NEGATIVE	0.9160381
684	1	POSITIVE	0.9857751
685	0	NEGATIVE	0.9984043
686	0	NEGATIVE	0.9984617
687	1	POSITIVE	0.9883013
688	0	NEGATIVE	0.99262077
689	0	NEGATIVE	0.99816376
690	1	POSITIVE	0.98028463
691	0	NEGATIVE	0.9983587
692	1	POSITIVE	0.9921856
693	0	NEGATIVE	0.9718654
694	1	POSITIVE	0.7201386
695	1	POSITIVE	0.9847646
696	0	NEGATIVE	0.99152607
697	1	POSITIVE	0.9884673
698	0	NEGATIVE	0.998551
699	1	POSITIVE	0.98282963
700	0	NEGATIVE	0.99868196
701	0	NEGATIVE	0.9981768
702	0	NEGATIVE	0.95811933
703	0	NEGATIVE	0.97857517
704	0	NEGATIVE	0.99160707
705	0	NEGATIVE	0.9776331
706	0	NEGATIVE	0.9041987
707	0	NEGATIVE	0.9845111
708	0	NEGATIVE	0.9978449
709	0	NEGATIVE	0.9934225
710	0	NEGATIVE	0.9957634
711	0	NEGATIVE	0.9572477
712	1	POSITIVE	0.8518445
713	0	NEGATIVE	0.9983835
714	1	POSITIVE	0.9957618
715	1	POSITIVE	0.99298024
716	1	POSITIVE	0.98091274
717	0	NEGATIVE	0.9974869
718	0	NEGATIVE	0.9283586
719	1	POSITIVE	0.99546057
720	0	NEGATIVE	0.998458
721	0	NEGATIVE	0.99838847
722	0	NEGATIVE	0.99766797
723	0	NEGATIVE	0.99769795
724	0	NEGATIVE	0.9937705
725	0	NEGATIVE	0.97197473
726	0	NEGATIVE	0.9923853
727	0	NEGATIVE	0.9979942
728	0	NEGATIVE	0.9741405
729	1	POSITIVE	0.53678143
730	1	POSITIVE	0.99191
731	1	POSITIVE	0.9932392
732	0	NEGATIVE	0.9989395
733	0	NEGATIVE	0.9981509
734	0	NEGATIVE	0.99474144
735	0	NEGATIVE	0.99093115
736	1	POSITIVE	0.9619781
737	0	NEGATIVE	0.99678737
738	1	POSITIVE	0.99796146
739	1	POSITIVE	0.97857785
740	0	NEGATIVE	0.9972764
741	0	NEGATIVE	0.9949276
742	0	NEGATIVE	0.99072134
743	0	NEGATIVE	0.99710834
744	1	POSITIVE	0.9810257
745	1	POSITIVE	0.9376746
746	0	NEGATIVE	0.9954967
747	0	NEGATIVE	0.99402726
748	0	NEGATIVE	0.98891926
749	1	POSITIVE	0.9811305
750	1	POSITIVE	0.9940986
751	0	NEGATIVE	0.9987201
752	1	POSITIVE	0.9873127
753	1	POSITIVE	0.98520017
754	1	POSITIVE	0.99576795
755	0	NEGATIVE	0.99755234
756	0	NEGATIVE	0.99497074
757	1	POSITIVE	0.985459
758	1	POSITIVE	0.98840106
759	0	NEGATIVE	0.9980208
760	0	NEGATIVE	0.9973952
761	1	POSITIVE	0.9938631
762	0	NEGATIVE	0.9937172
763	1	POSITIVE	0.9958864
764	0	NEGATIVE	0.9867257
765	0	NEGATIVE	0.99876565
766	0	NEGATIVE	0.98660165
767	1	POSITIVE	0.99390537
768	0	NEGATIVE	0.9969641
769	1	POSITIVE	0.9855579
770	0	NEGATIVE	0.53807276
771	0	NEGATIVE	0.99726003
772	0	NEGATIVE	0.9944765
773	0	NEGATIVE	0.99622273
774	0	NEGATIVE	0.9983068
775	0	NEGATIVE	0.9991632
776	1	POSITIVE	0.98630905
777	0	NEGATIVE	0.9937934
778	0	NEGATIVE	0.9989734
779	0	NEGATIVE	0.98496115
780	0	NEGATIVE	0.99572575
781	0	NEGATIVE	0.9963166
782	1	POSITIVE	0.9743599
783	0	NEGATIVE	0.99667144
784	0	NEGATIVE	0.9975609
785	0	NEGATIVE	0.9954991
786	1	POSITIVE	0.9871915
787	1	POSITIVE	0.995112
788	1	POSITIVE	0.9600211
789	1	POSITIVE	0.9876264
790	0	NEGATIVE	0.96779305
791	0	NEGATIVE	0.99583006
792	0	NEGATIVE	0.79371995
793	1	POSITIVE	0.9935406
794	0	NEGATIVE	0.99026144
